Height,Site,Site2,Block,Tile,Erad.treat,Cage.treat,Initial.oys,Alive,Missing,Dead,Drilled,Boxes,Scars,Uros.on.tile,Notes,Exclude
1.5,A-south,Aramburu,6,118,Control,partial,10,3,6,1,1,0,0,1,,no
1.5,A-south,Aramburu,7,119,Control,partial,10,0,0,10,8,2,0,1,C. antennarius - 37 mm CW,no
1.5,A-south,Aramburu,7,120,Control,closed,10,10,0,0,0,0,0,0,,no
1.5,A-south,Aramburu,7,121,Control,open,9,,,,,,,,missing!?,no
1.5,A-south,Aramburu,8,122,Control,closed,9,9,0,0,0,0,0,0,,no
1.5,A-south,Aramburu,8,123,Control,open,10,0,1,9,7,0,2,0,,no
1.5,A-south,Aramburu,8,124,Control,partial,10,0,3,7,6,0,1,0,,no
1.5,A-central,Aramburu,9,125,Eradication,partial,10,0,1,9,7,2,0,0,,no
1.5,A-central,Aramburu,9,126,Eradication,closed,10,7,0,3,0,3,0,0,Corrected - 3 dead input as boxes from picture,no
1.5,A-central,Aramburu,9,127,Eradication,open,10,0,2,8,7,0,1,0,,no
1.5,A-central,Aramburu,10,128,Eradication,closed,10,9,0,1,0,1,0,0,,no
1.5,A-central,Aramburu,10,129,Eradication,open,10,0,3,7,4,1,2,0,,no
1.5,A-central,Aramburu,10,130,Eradication,partial,10,0,1,9,6,3,0,0,,no
1.5,A-central,Aramburu,11,131,Eradication,closed,10,8,0,2,0,2,0,0,,no
1.5,A-central,Aramburu,11,132,Eradication,open,10,0,2,8,4,4,0,0,,no
1.5,A-central,Aramburu,11,133,Eradication,partial,10,0,10,0,0,0,0,1,,no
1.5,A-central,Aramburu,12,134,Eradication,partial,10,0,3,7,4,0,3,0,,no
1.5,A-central,Aramburu,12,135,Eradication,closed,10,10,0,0,0,0,0,0,,no
1.5,A-central,Aramburu,12,136,Eradication,open,10,0,5,5,3,0,2,0,,no
1.5,A-central,Aramburu,13,137,Eradication,open,10,0,8,2,1,0,1,0,,no
1.5,A-central,Aramburu,13,138,Eradication,closed,10,9,0,1,0,1,0,0,,no
1.5,A-central,Aramburu,13,139,Eradication,partial,10,1,8,1,0,1,0,0,,no
1.5,A-central,Aramburu,14,140,Eradication,open,10,0,10,0,0,0,0,0,,no
1.5,A-central,Aramburu,14,141,Eradication,partial,10,0,7,3,1,1,1,0,,no
1.5,A-central,Aramburu,14,142,Eradication,closed,10,10,0,0,0,0,0,0,,no
1.5,A-central,Aramburu,15,143,Eradication,open,10,0,9,1,0,1,0,0,,no
1.5,A-central,Aramburu,15,144,Eradication,closed,10,5,0,5,0,5,0,0,Olympia recruit at noon position,no
1.5,A-central,Aramburu,15,145,Eradication,partial,10,0,6,4,2,2,0,0,,no
1.5,A-central,Aramburu,16,146,Eradication,partial,9,0,5,4,1,0,3,0,,no
1.5,A-central,Aramburu,16,147,Eradication,open,10,0,1,9,4,4,1,0,,no
1.5,A-central,Aramburu,16,148,Eradication,closed,10,10,0,0,0,0,0,0,,no
2.5,A-south,Aramburu,1,149,Control,closed,10,10,0,0,0,0,0,0,,no
2.5,A-south,Aramburu,1,150,Control,partial,9,4,5,0,0,0,0,0,,no
2.5,A-south,Aramburu,1,151,Control,open,10,6,3,1,0,0,1,0,,no
2.5,A-south,Aramburu,2,152,Control,open,10,5,5,0,0,0,0,0,,no
2.5,A-south,Aramburu,2,153,Control,closed,10,8,0,2,0,2,0,0,,no
2.5,A-south,Aramburu,2,154,Control,partial,10,1,9,0,0,0,0,0,Shell fragments,no
2.5,A-south,Aramburu,3,155,Control,partial,10,8,2,0,0,0,0,0,,no
2.5,A-south,Aramburu,3,156,Control,open,10,0,10,0,0,0,0,0,,no
2.5,A-south,Aramburu,3,157,Control,closed,10,10,0,0,0,0,0,0,,no
2.5,A-south,Aramburu,4,158,Control,closed,11,8,0,3,0,1,2,0,,no
2.5,A-south,Aramburu,4,159,Control,open,10,7,1,2,0,1,1,0,,no
2.5,A-south,Aramburu,4,160,Control,partial,9,0,9,0,0,0,0,0,,no
2.5,A-south,Aramburu,5,161,Control,partial,10,1,3,6,2,4,0,0,,no
2.5,A-south,Aramburu,5,162,Control,open,10,3,7,0,0,0,0,0,,no
2.5,A-south,Aramburu,5,163,Control,closed,10,9,0,1,0,1,0,0,,no
2.5,A-south,Aramburu,6,164,Control,open,10,5,5,0,0,0,0,0,,no
2.5,A-south,Aramburu,6,165,Control,partial,10,2,5,3,2,1,0,0,,no
2.5,A-south,Aramburu,6,166,Control,closed,10,9,0,1,0,1,0,0,One drilled but alive,no
2.5,A-south,Aramburu,7,167,Control,open,10,7,3,0,0,0,0,0,,no
2.5,A-south,Aramburu,7,168,Control,partial,10,0,8,2,1,0,1,0,,no
2.5,A-south,Aramburu,7,169,Control,closed,10,8,0,2,0,2,0,0,,no
2.5,A-south,Aramburu,8,170,Control,partial,10,2,8,0,0,0,0,0,,no
2.5,A-south,Aramburu,8,171,Control,open,10,0,10,0,0,0,0,0,,no
2.5,A-south,Aramburu,8,172,Control,closed,10,7,0,3,0,3,0,0,,no
0.5,A-south,Aramburu,9,173,Control,closed,10,8,1,1,0,1,0,0,,no
0.5,A-south,Aramburu,9,174,Control,partial,10,0,8,2,0,0,2,0,,no
0.5,A-south,Aramburu,9,175,Control,open,10,0,6,4,0,1,3,0,,no
0.5,A-south,Aramburu,10,176,Control,open,10,1,7,2,2,0,0,0,,no
0.5,A-south,Aramburu,10,177,Control,closed,9,8,0,1,0,1,0,0,,no
0.5,A-south,Aramburu,10,178,Control,partial,10,1,7,2,0,2,0,0,Fish eggs!,no
0.5,A-south,Aramburu,11,179,Control,closed,10,8,1,1,0,1,0,0,,no
0.5,A-south,Aramburu,11,180,Control,open,10,3,5,2,1,0,1,0,,no
0.5,A-south,Aramburu,11,181,Control,partial,10,0,3,7,2,2,3,0,"Myster crab, C. gracilis? 55 CW, probably C. jordani",no
0.5,A-south,Aramburu,12,182,Control,closed,9,7,1,1,0,1,0,0,,no
0.5,A-south,Aramburu,12,183,Control,partial,10,0,5,5,3,0,2,0,,no
0.5,A-south,Aramburu,12,184,Control,open,10,1,9,0,0,0,0,0,,no
0.5,A-south,Aramburu,13,185,Control,partial,10,6,1,3,0,3,0,0,,no
0.5,A-south,Aramburu,13,186,Control,open,10,0,6,4,2,1,1,0,,no
0.5,A-south,Aramburu,13,187,Control,closed,10,7,1,2,0,2,0,0,,no
0.5,A-south,Aramburu,14,188,Control,partial,10,5,1,4,0,1,3,1,"C. antennarius - 39 mm CW, one alive was drilled",no
0.5,A-south,Aramburu,14,189,Control,open,10,0,7,3,0,0,3,0,,no
0.5,A-south,Aramburu,14,190,Control,closed,10,9,1,0,0,0,0,0,,no
0.5,A-south,Aramburu,15,191,Control,closed,10,10,0,0,0,0,0,0,,no
0.5,A-south,Aramburu,15,192,Control,partial,9,0,7,2,0,1,1,0,C. antennarius - 49 mm CW,no
0.5,A-south,Aramburu,15,193,Control,open,10,0,7,3,0,0,3,0,,no
0.5,A-south,Aramburu,16,194,Control,closed,10,8,0,2,0,2,0,0,,no
0.5,A-south,Aramburu,16,195,Control,partial,10,0,6,4,2,0,2,1,C. antennarius,no
0.5,A-south,Aramburu,16,196,Control,open,10,0,9,1,1,0,0,0,,no
