cage.treat,tile,oyster,size.before,
open,33,8,0.682,
open,33,9,1.204,
open,33,10,0.847,
open,70,1,0.796,
open,70,2,0.584,
open,70,3,0.794,
open,70,4,0.675,
open,70,5,0.436,
open,70,6,0.721,
open,70,7,1.084,
open,70,8,0.771,not sure about this one
open,70,9,0.569,
open,70,10,1.064,
open,44,1,0.637,
open,44,2,0.923,obscured by mud
open,44,3,1.057,
open,44,4,0.714,
open,44,5,0.681,
open,44,6,0.447,
open,44,7,0.619,
open,44,8,0.537,
open,44,9,0.627,
open,44,10,0.489,
open,1,1,1.242,
open,1,2,0.952,
open,1,3,1.119,
open,1,4,1.043,
open,1,5,0.804,
open,1,6,0.766,
open,1,7,0.93,
open,1,8,1.01,
open,1,9,0.572,
open,1,10,0.741,
open,6,1,0.641,
open,6,2,0.55,
open,6,3,0.714,
open,6,4,0.66,
open,6,5,0.649,
open,6,6,0.878,
open,6,7,0.599,
open,6,8,1.548,not sure about this one
open,6,9,0.587,
open,6,10,0.928,
open,54,1,0.555,
open,54,2,0.577,
open,54,3,0.359,
open,54,4,0.361,
open,54,5,0.595,
open,54,6,0.426,
open,54,7,0.303,
open,54,8,0.542,
open,54,9,0.387,
open,54,10,0.508,
open,29,1,0.895,
open,29,2,0.938,
open,29,3,0.765,obscured by mud
open,29,4,0.449,
open,29,5,0.6,
open,29,6,0.93,
open,29,7,0.622,
open,29,8,0.877,
open,29,9,0.671,obscured by mud
open,29,10,0.796,
open,79,1,1.134,
open,79,2,0.702,
open,79,3,0.815,
open,79,4,0.696,
open,79,5,0.521,
open,79,6,0.812,
open,79,7,0.686,
open,79,8,0.688,
open,79,9,0.863,
open,79,10,0.641,
open,43,1,0.313,
open,43,2,0.939,
open,43,3,0.757,
open,43,4,0.663,
open,43,5,0.422,
open,43,6,0.837,
open,43,7,0.911,unsure about this one
open,43,8,1.049,
open,43,9,0.452,
open,43,10,0.491,
closed,3,1,1.019,
closed,3,2,0.744,
closed,3,3,0.782,
closed,3,4,0.839,
closed,3,5,0.624,
closed,3,6,0.87,
closed,3,7,0.948,
closed,3,8,0.755,
closed,3,9,0.613,
closed,3,10,0.833,
closed,8,1,0.62,
closed,8,3,0.763,
closed,8,4,0.764,
closed,8,5,0.561,
closed,8,7,0.845,
closed,8,8,0.619,
closed,8,9,0.574,
closed,8,10,0.762,
closed,11,1,0.75,
closed,11,2,0.89,
closed,11,3,0.756,
closed,11,4,0.644,
closed,11,5,0.75,
closed,11,6,0.746,
closed,11,7,1.066,
closed,11,8,0.774,
closed,11,9,0.675,
closed,14,1,0.634,
closed,14,2,0.839,
closed,14,3,0.469,
closed,14,4,0.809,
closed,14,5,0.621,
closed,14,6,0.463,
closed,14,7,0.677,
closed,14,8,0.502,
closed,14,9,0.583,
closed,14,10,0.8,
closed,18,1,0.667,
closed,18,2,0.812,
closed,18,3,0.728,
closed,18,4,0.522,
closed,18,5,0.395,
closed,18,6,1.205,
closed,18,7,0.576,
closed,18,8,0.542,
closed,18,9,0.407,
closed,18,10,0.948,
closed,20,1,0.696,
closed,20,2,0.624,
closed,20,3,0.579,
closed,20,4,0.573,
closed,20,5,0.456,
closed,20,6,0.514,
closed,20,7,0.858,
closed,20,8,0.658,
closed,25,1,1.241,
closed,25,2,1.005,
closed,25,3,0.826,
closed,25,4,0.764,
closed,25,5,0.695,
closed,25,6,1.062,
closed,25,7,0.73,
closed,25,8,1.05,
closed,25,9,0.696,
closed,25,10,0.814,
closed,55,1,0.433,
closed,55,2,0.511,
closed,55,3,0.558,
closed,55,4,0.357,
closed,55,5,0.994,
closed,55,6,0.457,
closed,55,7,0.449,
closed,55,8,0.621,
closed,55,9,0.749,
closed,57,1,0.565,
closed,57,2,0.641,
closed,57,3,0.777,
closed,57,4,0.669,
closed,57,5,0.75,
closed,57,6,0.423,
closed,57,7,0.843,
closed,57,8,0.432,
closed,57,9,0.95,
closed,61,1,0.709,
closed,61,2,0.659,
closed,61,3,0.654,
closed,61,4,0.739,
closed,61,5,0.628,
closed,61,6,0.835,
closed,66,1,0.776,
closed,66,2,0.814,
closed,66,3,0.729,
closed,66,4,1.139,
closed,66,5,1.118,
closed,66,6,0.792,
closed,66,7,0.695,
closed,66,8,1.103,
closed,69,1,0.567,
closed,69,2,0.742,
closed,69,3,0.531,
closed,69,4,0.927,
closed,69,5,0.801,
closed,69,6,0.375,
closed,69,7,1.105,
closed,69,8,0.803,
closed,69,9,0.798,
closed,72,1,0.73,
closed,72,2,0.574,
closed,72,3,0.694,
closed,72,4,0.792,
closed,72,5,0.491,
closed,72,6,0.372,
closed,72,7,0.408,
closed,72,8,0.898,
closed,76,1,0.399,
closed,76,2,0.606,
closed,76,3,0.644,
closed,76,4,0.421,
closed,76,5,0.607,
closed,76,6,0.713,
closed,76,7,0.46,
closed,76,8,0.752,
closed,76,9,0.604,
closed,76,10,0.563,
closed,78,1,0.573,
closed,78,2,0.52,
closed,78,3,0.367,
closed,78,4,0.409,
closed,78,5,0.527,
closed,78,6,0.684,
closed,78,7,0.909,
closed,78,8,0.631,
closed,95,1,1.014,
closed,95,2,1.035,
closed,95,3,0.833,
closed,95,4,0.57,
closed,95,5,0.695,
closed,95,6,0.498,
closed,95,7,0.755,
closed,95,8,0.837,
closed,95,9,0.783,
closed,104,1,0.882,
closed,104,2,0.936,
closed,104,3,0.678,
closed,104,4,0.468,
closed,104,5,1.117,
closed,104,6,0.939,
closed,104,7,0.67,
closed,104,8,1.19,
closed,104,9,0.724,
closed,116,1,0.736,
closed,116,2,0.749,
closed,116,3,0.722,
closed,116,4,0.67,
closed,116,5,0.909,
closed,116,6,0.657,
closed,116,7,0.771,
closed,116,8,0.502,
closed,116,9,0.554,
closed,122,1,0.948,
closed,122,2,1.024,
closed,122,3,0.565,
closed,122,4,0.987,
closed,122,5,0.569,
closed,122,6,0.676,
closed,122,7,0.822,
closed,122,8,0.968,
closed,122,9,0.734,
closed,142,1,0.508,
closed,142,2,1.013,
closed,142,3,1.029,
closed,142,4,0.752,
closed,142,5,0.554,
closed,142,6,0.662,
closed,142,7,0.709,
closed,142,8,0.637,
closed,142,9,0.549,
closed,142,10,1.011,
closed,148,1,0.854,
closed,148,2,0.751,
closed,148,3,0.698,
closed,148,4,0.552,
closed,148,5,0.855,
closed,148,6,0.547,
closed,148,7,0.771,
closed,148,8,1.056,
closed,148,9,0.522,
closed,148,10,0.757,
closed,158,1,0.75,
closed,158,2,0.73,
closed,158,3,0.51,
closed,158,4,0.628,
closed,158,5,0.488,
closed,158,6,0.422,
closed,158,7,0.485,
closed,158,8,0.92,
closed,182,1,0.311,
closed,182,2,0.019,
closed,182,3,0.698,
closed,182,4,0.289,
closed,182,5,0.769,
closed,182,6,0.802,
closed,182,7,0.518,
